id,time_stamp,reg_number,alt,dir,speed,lat,lng,dep_iata,flight_icao,status
1,05/19/2023 14:09:01,N655AE,4808,311,668,40.33873,-75.734192,PHL,PDT6126,en-route
2,05/19/2023 14:09:01,N690NK,0,282,11,28.448271,-81.320938,MCO,NKS2911,en-route
3,05/19/2023 14:09:01,N748YX,10363,280,774,40.940094,-78.185242,EWR,RPA3406,en-route
4,05/19/2023 14:09:01,N898DN,10363,351,790,40.197205,-86.974327,ATL,DAL2431,en-route
5,05/19/2023 14:09:01,N99MN,12192,304,716,38.809296,-82.514954,INT,undefined,en-route
6,05/19/2023 14:09:01,N243SY,10363,276,766,43.100018,-73.376312,BOS,SKW3512,en-route
7,05/19/2023 14:09:01,N843SY,0,33,11,44.883411,-93.219063,MSP,SCX1815,en-route
8,05/19/2023 14:09:01,N468AW,0,225,0,41.974,-87.905,ORD,AWI3729,landed
